,year,state_code,state_name,municipal_code,municipal_name,asset_affected,crime_type,crime_subtype,modality,january,feburary,march,april,may,june,july,august,september,october,november,december,geo-id,population,total_crime
5209,2020,14,Jalisco,14009,El Arenal,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,2.0
5225,2020,14,Jalisco,14009,El Arenal,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,1.0
5226,2020,14,Jalisco,14009,El Arenal,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,1.0
5233,2020,14,Jalisco,14009,El Arenal,El patrimonio,Robo,Robo a casa habitación,Con violencia,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,1.0
5234,2020,14,Jalisco,14009,El Arenal,El patrimonio,Robo,Robo a casa habitación,Sin violencia,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,6.0
5235,2020,14,Jalisco,14009,El Arenal,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,1.0
5236,2020,14,Jalisco,14009,El Arenal,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,1.0
5238,2020,14,Jalisco,14009,El Arenal,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,2.0
5245,2020,14,Jalisco,14009,El Arenal,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,1.0
5246,2020,14,Jalisco,14009,El Arenal,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,1.0
5257,2020,14,Jalisco,14009,El Arenal,El patrimonio,Robo,Robo a negocio,Con violencia,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,2.0
5268,2020,14,Jalisco,14009,El Arenal,El patrimonio,Robo,Otros robos,Sin violencia,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,2.0
5269,2020,14,Jalisco,14009,El Arenal,El patrimonio,Fraude,Fraude,Fraude,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,7.0
5270,2020,14,Jalisco,14009,El Arenal,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,2.0
5271,2020,14,Jalisco,14009,El Arenal,El patrimonio,Extorsión,Extorsión,Extorsión,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,2.0
5272,2020,14,Jalisco,14009,El Arenal,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,5.0
5273,2020,14,Jalisco,14009,El Arenal,El patrimonio,Despojo,Despojo,Despojo,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,2.0
5275,2020,14,Jalisco,14009,El Arenal,La familia,Violencia familiar,Violencia familiar,Violencia familiar,3,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,9.0
5278,2020,14,Jalisco,14009,El Arenal,La familia,Otros delitos contra la familia,Otros delitos contra la familia,Otros delitos contra la familia,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,1.0
5282,2020,14,Jalisco,14009,El Arenal,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo,Narcomenudeo,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,2.0
5283,2020,14,Jalisco,14009,El Arenal,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,7.0
5287,2020,14,Jalisco,14009,El Arenal,Otros bienes jurídicos afectados (del fuero común),Falsificación,Falsificación,Falsificación,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,1.0
5288,2020,14,Jalisco,14009,El Arenal,Otros bienes jurídicos afectados (del fuero común),Contra el medio ambiente,Contra el medio ambiente,Contra el medio ambiente,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,1.0
5291,2020,14,Jalisco,14009,El Arenal,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17545,3.0
5298,2015,14,Jalisco,14010,Atemajac de Brizuela,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,6655,1.0
5299,2015,14,Jalisco,14010,Atemajac de Brizuela,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5302,2015,14,Jalisco,14010,Atemajac de Brizuela,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,6655,1.0
5303,2015,14,Jalisco,14010,Atemajac de Brizuela,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9,6655,4.0
5316,2015,14,Jalisco,14010,Atemajac de Brizuela,Libertad personal,Secuestro,Secuestro,Secuestro extorsivo,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,6655,1.0
5324,2015,14,Jalisco,14010,Atemajac de Brizuela,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9,6655,2.0
5331,2015,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Robo a casa habitación,Con violencia,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5334,2015,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5356,2015,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Robo a negocio,Sin violencia,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9,6655,1.0
5358,2015,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Robo de ganado,Sin violencia,1,1,0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,9,6655,9.0
5366,2015,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Otros robos,Sin violencia,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,6655,3.0
5371,2015,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Despojo,Despojo,Despojo,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5373,2015,14,Jalisco,14010,Atemajac de Brizuela,La familia,Violencia familiar,Violencia familiar,Violencia familiar,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9,6655,1.0
5381,2015,14,Jalisco,14010,Atemajac de Brizuela,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,6655,1.0
5389,2015,14,Jalisco,14010,Atemajac de Brizuela,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9,6655,2.0
5397,2016,14,Jalisco,14010,Atemajac de Brizuela,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9,6655,1.0
5401,2016,14,Jalisco,14010,Atemajac de Brizuela,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9,6655,3.0
5425,2016,14,Jalisco,14010,Atemajac de Brizuela,La libertad y la seguridad sexual,Violación simple,Violación simple,Violación simple,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5430,2016,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Robo a casa habitación,Sin violencia,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,6655,2.0
5434,2016,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5439,2016,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Robo a transportista,Con violencia,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,6655,1.0
5440,2016,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Robo a transportista,Sin violencia,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5456,2016,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Robo de ganado,Sin violencia,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,9,6655,4.0
5464,2016,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Otros robos,Sin violencia,0,0,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,9,6655,5.0
5465,2016,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Fraude,Fraude,Fraude,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9,6655,1.0
5469,2016,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Despojo,Despojo,Despojo,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,9,6655,4.0
5471,2016,14,Jalisco,14010,Atemajac de Brizuela,La familia,Violencia familiar,Violencia familiar,Violencia familiar,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9,6655,2.0
5474,2016,14,Jalisco,14010,Atemajac de Brizuela,La familia,Otros delitos contra la familia,Otros delitos contra la familia,Otros delitos contra la familia,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5479,2016,14,Jalisco,14010,Atemajac de Brizuela,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,9,6655,3.0
5487,2016,14,Jalisco,14010,Atemajac de Brizuela,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,2,5,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9,6655,9.0
5494,2017,14,Jalisco,14010,Atemajac de Brizuela,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,6655,1.0
5499,2017,14,Jalisco,14010,Atemajac de Brizuela,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9,6655,5.0
5528,2017,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Robo a casa habitación,Sin violencia,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5529,2017,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5538,2017,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Robo a transportista,Sin violencia,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,6655,1.0
5552,2017,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Robo a negocio,Sin violencia,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5562,2017,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Otros robos,Sin violencia,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5563,2017,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Fraude,Fraude,Fraude,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9,6655,1.0
5567,2017,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Despojo,Despojo,Despojo,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5577,2017,14,Jalisco,14010,Atemajac de Brizuela,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9,6655,1.0
5578,2017,14,Jalisco,14010,Atemajac de Brizuela,Otros bienes jurídicos afectados (del fuero común),Allanamiento de morada,Allanamiento de morada,Allanamiento de morada,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5585,2017,14,Jalisco,14010,Atemajac de Brizuela,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9,6655,3.0
5586,2018,14,Jalisco,14010,Atemajac de Brizuela,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,6655,2.0
5597,2018,14,Jalisco,14010,Atemajac de Brizuela,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,6655,2.0
5628,2018,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9,6655,1.0
5638,2018,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5660,2018,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Otros robos,Sin violencia,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,2.0
5661,2018,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Fraude,Fraude,Fraude,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5662,2018,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5663,2018,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Extorsión,Extorsión,Extorsión,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5665,2018,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Despojo,Despojo,Despojo,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,2.0
5667,2018,14,Jalisco,14010,Atemajac de Brizuela,La familia,Violencia familiar,Violencia familiar,Violencia familiar,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,2.0
5675,2018,14,Jalisco,14010,Atemajac de Brizuela,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,9,6655,3.0
5679,2018,14,Jalisco,14010,Atemajac de Brizuela,Otros bienes jurídicos afectados (del fuero común),Falsificación,Falsificación,Falsificación,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9,6655,2.0
5681,2018,14,Jalisco,14010,Atemajac de Brizuela,Otros bienes jurídicos afectados (del fuero común),Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,6655,1.0
5682,2018,14,Jalisco,14010,Atemajac de Brizuela,Otros bienes jurídicos afectados (del fuero común),Electorales,Electorales,Electorales,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5687,2019,14,Jalisco,14010,Atemajac de Brizuela,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,6655,1.0
5695,2019,14,Jalisco,14010,Atemajac de Brizuela,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9,6655,2.0
5716,2019,14,Jalisco,14010,Atemajac de Brizuela,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,6655,1.0
5717,2019,14,Jalisco,14010,Atemajac de Brizuela,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9,6655,1.0
5726,2019,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5727,2019,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9,6655,2.0
5750,2019,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Robo de ganado,Sin violencia,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9,6655,2.0
5758,2019,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Otros robos,Sin violencia,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9,6655,2.0
5760,2019,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9,6655,2.0
5762,2019,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,1,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9,6655,3.0
5763,2019,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Despojo,Despojo,Despojo,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9,6655,2.0
5765,2019,14,Jalisco,14010,Atemajac de Brizuela,La familia,Violencia familiar,Violencia familiar,Violencia familiar,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,6655,1.0
5773,2019,14,Jalisco,14010,Atemajac de Brizuela,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,6655,2.0
5777,2019,14,Jalisco,14010,Atemajac de Brizuela,Otros bienes jurídicos afectados (del fuero común),Falsificación,Falsificación,Falsificación,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9,6655,2.0
5779,2019,14,Jalisco,14010,Atemajac de Brizuela,Otros bienes jurídicos afectados (del fuero común),Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5793,2020,14,Jalisco,14010,Atemajac de Brizuela,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,2.0
5848,2020,14,Jalisco,14010,Atemajac de Brizuela,El patrimonio,Robo,Robo de ganado,Sin violencia,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5863,2020,14,Jalisco,14010,Atemajac de Brizuela,La familia,Violencia familiar,Violencia familiar,Violencia familiar,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6655,1.0
5881,2015,14,Jalisco,14011,Atengo,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5400,1.0
5891,2015,14,Jalisco,14011,Atengo,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5400,1.0
5895,2015,14,Jalisco,14011,Atengo,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,5400,1.0
5920,2015,14,Jalisco,14011,Atengo,El patrimonio,Robo,Robo a casa habitación,Sin violencia,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5400,1.0
5944,2015,14,Jalisco,14011,Atengo,El patrimonio,Robo,Robo a negocio,Sin violencia,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10,5400,2.0
5946,2015,14,Jalisco,14011,Atengo,El patrimonio,Robo,Robo de ganado,Sin violencia,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5400,1.0
5954,2015,14,Jalisco,14011,Atengo,El patrimonio,Robo,Otros robos,Sin violencia,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10,5400,3.0
5957,2015,14,Jalisco,14011,Atengo,El patrimonio,Extorsión,Extorsión,Extorsión,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10,5400,1.0
5959,2015,14,Jalisco,14011,Atengo,El patrimonio,Despojo,Despojo,Despojo,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5400,1.0
5964,2015,14,Jalisco,14011,Atengo,La familia,Otros delitos contra la familia,Otros delitos contra la familia,Otros delitos contra la familia,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5400,1.0
5975,2015,14,Jalisco,14011,Atengo,Otros bienes jurídicos afectados (del fuero común),Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,5400,1.0
5977,2015,14,Jalisco,14011,Atengo,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,5400,2.0
5984,2016,14,Jalisco,14011,Atengo,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10,5400,3.0
5993,2016,14,Jalisco,14011,Atengo,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10,5400,2.0
6013,2016,14,Jalisco,14011,Atengo,La libertad y la seguridad sexual,Violación simple,Violación simple,Violación simple,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5400,1.0
6018,2016,14,Jalisco,14011,Atengo,El patrimonio,Robo,Robo a casa habitación,Sin violencia,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10,5400,3.0
6044,2016,14,Jalisco,14011,Atengo,El patrimonio,Robo,Robo de ganado,Sin violencia,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5400,2.0
6050,2016,14,Jalisco,14011,Atengo,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia",0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10,5400,1.0
6052,2016,14,Jalisco,14011,Atengo,El patrimonio,Robo,Otros robos,Sin violencia,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5400,1.0
6053,2016,14,Jalisco,14011,Atengo,El patrimonio,Fraude,Fraude,Fraude,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10,5400,4.0
6056,2016,14,Jalisco,14011,Atengo,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,0,0,0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,10,5400,5.0
6057,2016,14,Jalisco,14011,Atengo,El patrimonio,Despojo,Despojo,Despojo,0,0,0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,10,5400,6.0
6059,2016,14,Jalisco,14011,Atengo,La familia,Violencia familiar,Violencia familiar,Violencia familiar,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,5400,1.0
6067,2016,14,Jalisco,14011,Atengo,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,5400,1.0
6071,2016,14,Jalisco,14011,Atengo,Otros bienes jurídicos afectados (del fuero común),Falsificación,Falsificación,Falsificación,0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10,5400,3.0
