,year,state_code,state_name,municipal_code,municipal_name,asset_affected,crime_type,crime_subtype,modality,january,feburary,march,april,may,june,july,august,september,october,november,december,geo-id,population,total_crime
89,2015,14,Jalisco,14001,Acatic,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,0,0,0,1.0,3.0,1.0,0.0,2.0,1.0,4.0,1.0,1.0,0,21206,14.0
90,2015,14,Jalisco,14001,Acatic,Otros bienes jurídicos afectados (del fuero común),Allanamiento de morada,Allanamiento de morada,Allanamiento de morada,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21206,2.0
95,2015,14,Jalisco,14001,Acatic,Otros bienes jurídicos afectados (del fuero común),Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21206,1.0
97,2015,14,Jalisco,14001,Acatic,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,21206,4.0
99,2016,14,Jalisco,14001,Acatic,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,21206,1.0
104,2016,14,Jalisco,14001,Acatic,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,0,0,0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0,21206,6.0
109,2016,14,Jalisco,14001,Acatic,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,1,0,3,0.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,0,21206,13.0
113,2016,14,Jalisco,14001,Acatic,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,0,0,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,21206,5.0
115,2016,14,Jalisco,14001,Acatic,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,21206,1.0
130,2016,14,Jalisco,14001,Acatic,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,21206,3.0
133,2016,14,Jalisco,14001,Acatic,La libertad y la seguridad sexual,Violación simple,Violación simple,Violación simple,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,21206,1.0
136,2016,14,Jalisco,14001,Acatic,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,21206,1.0
138,2016,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo a casa habitación,Sin violencia,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0,21206,3.0
